"marker" "inflation"
"DPP2_seq.8346.9" Inf
"DSC2_seq.13126.52" 48.4044685767413
"DSCAM_seq.9175.48" 52.7459246058453
"Dtk_seq.13668.44" 26.9670862192698
"Dtk_seq.2611.72" 14.4401849728392
"Dynamin_seq.24435.1" 9.86599873646668
"ECM1_seq.3366.51" 41.0036148872857
"ECP_seq.15576.158" Inf
"ECP_seq.5741.55" Inf
"EFHD1_seq.19616.100" 137.76284920804
"EFNB2.ECD_seq.14131.37" 12.58792922836
"EGFLA_seq.12338.27" Inf
"ELA2A_seq.7140.1" Inf
"Elafin_seq.4982.54" Inf
"EMR2_seq.4546.27" 70.3215957755329
"Endocan_seq.3805.16" Inf
"Endoglin_seq.4908.6" 72.4085970567708
"Endostatin_seq.2201.17" 66.7053622312214
"ENPP5_seq.6556.5" 65.6526817212452
"ENPP6_seq.15579.26" Inf
"ENPP7_seq.4435.66" Inf
"ENTP2_seq.18887.7" Inf
"ENTP6_seq.8932.1" 78.1675483737191
"EphA1_seq.3431.54" Inf
"EPHA4_seq.7190.50" 8.32360095494747
"EPHAA_seq.5076.53" 18.4381609854188
"EphB4_seq.15530.33" 46.3996773126614
"EphB6_seq.5078.82" 12.2234934043682
"EphB6_seq.9261.14" 8.87864412848036
"Ephrin.A1_seq.20091.138" Inf
"Ephrin.A4_seq.14050.61" Inf
"Ephrin.A4_seq.2614.28" 106.772870395115
"Epithelial.cell.kinase_seq.4834.61" 82.3765636138569
"ERBB1_seq.2677.1" 57.729122457344
"ERBB3_seq.2617.56" 62.07318569618
"ES8L2_seq.24891.54" 118.934983585781
"ESAM_seq.20536.11" 17.6322081659836
"ESAM_seq.2981.9" 13.1009116238974
"ESAM_seq.7841.84" 15.1852139760635
"Ezrin_seq.9753.17" 122.61052852246
"F171B.ECD_seq.8786.6" 91.5180742996621
"F171B.ECD_seq.8851.42" 100.498147122357
"F19A5_seq.5609.92" 11.3101600905851
"FABP_seq.4696.2" 21.6662305428415
"FABP_seq.5437.63" 93.4768249000799
"FABPA_seq.15386.7" Inf
"FABPA_seq.9851.9" Inf
"Factor.B_seq.4129.72" Inf
"Factor.D_seq.13678.169" 143.051011682182
"Factor.D_seq.2946.52" Inf
"Factor.I_seq.2567.5" Inf
"FAM3B_seq.5618.50" Inf
"FAM3B_seq.9177.6" Inf
"Fas..soluble_seq.9459.7" 95.2155473248537
"Fas.ligand..soluble_seq.3052.8" 140.397906977442
"FCG3B_seq.3311.27" 134.908508669382
"FCN2_seq.13717.15" Inf
"FETUB_seq.3367.8" Inf
"FGF.19_seq.13724.27" Inf
"FGF.19_seq.2762.30" 151.149146819566
"FGFP3_seq.11219.95" Inf
"FGL1_seq.5581.28" Inf
"FHR2_seq.15584.9" Inf
"Fibronectin_seq.4131.72" 69.1499805310112
"FIS1_seq.17746.77" 10.9181098285535
"FLRT2_seq.13122.19" 44.7576609709395
"Flt3.ligand_seq.14093.10" Inf
"FN1.2_seq.20064.24" 51.6313049787957
"FN1.3_seq.3434.34" 98.3098346656823
"FN1.4_seq.3435.53" 65.346099728385
"FOLR1_seq.17455.42" Inf
"FOLR2_seq.15587.20" 45.109308194379
"FSTL3_seq.3438.10" Inf
"FUT8_seq.8244.16" 72.5859011474408
"g.Synuclein_seq.19630.2" 17.674700806668
"Galectin.3_seq.3066.12" Inf
"GBRAP_seq.22966.20" 13.9257616257491
"GFAP_seq.20126.19" 107.440177142342
"GFRa.1_seq.3314.74" 108.602453427425
"GFRa.2_seq.2515.14" 15.9235507152001
"GFRP_seq.21118.48" 78.8348246657903
"GGH_seq.9370.69" Inf
"Glutaminyl.cyclase_seq.7849.3" 47.9573063619377
"Glutathione.reductase_seq.19273.3" 16.2009105679961
"Glypican.1_seq.8697.38" 140.382811664712
"gp130..soluble_seq.2620.4" 48.3393994368505
"GPC5_seq.4991.12" 53.8744721302679
"GPNMB.CD_seq.8606.39" 122.947795888305
"GPNMB.ECD_seq.5080.131" Inf
"GPNMB.ECD_seq.8240.207" Inf
"GPNMB.ECD_seq.8289.8" 128.442826204287
"GPR37_seq.21495.134" 42.1124016526081
"GPR56_seq.18893.26" 97.3009321075407
"Granulysin_seq.14102.6" Inf
"Granulysin_seq.3195.50" Inf
"granzyme.A_seq.13712.104" Inf
"granzyme.A_seq.3440.7" Inf
"GRN_seq.4992.49" 111.417392562707
"Gro.a_seq.2985.35" Inf
"Growth.hormone.receptor_seq.2948.58" Inf
"HCC.1_seq.2900.53" Inf
"HCC.4_seq.4913.78" Inf
"HE4_seq.11388.75" 49.9335163085819
"Heparin.cofactor.II_seq.3316.58" 136.415748848313
"HERV1_seq.15398.2" 93.3260461277887
"HGF_seq.2681.23" 140.088087111478
"HGFA_seq.3617.80" Inf
"HGFA_seq.8385.248" Inf
"Histidyl.tRNA.synthetase.related_seq.19194.9" 18.2629895348409
"Histidyl.tRNA.synthetase_seq.17450.51" 143.384868455807
"HNMT_seq.23178.95" 142.761829879658
"Holo.TC.II_seq.5584.21" Inf
"HRG_seq.4996.66" Inf
"HSP.70_seq.10749.18" 82.234944903678
"HSP.70_seq.10803.22" 113.49293161102
"HSP.70_seq.16780.6" 53.273970539446
"HSP.70_seq.6563.78" 151.149146819566
"HSPB6_seq.19127.1" 103.600479716765
"HVEM_seq.5352.11" 33.0884345124904
"HYOU1_seq.21497.32" 45.7022179473356
"I.TAC_seq.3038.9" Inf
"IBPL1_seq.7815.49" Inf
"IDS_seq.3198.4" 123.787317947447
"IDUA_seq.3169.70" Inf
"IFN.a.b.R1_seq.9183.7" 91.6928630696601
"IFN.g.R1_seq.5825.49" 25.3368891781252
"IGDC4_seq.9793.145" 63.5747261162295
"IGF.I.sR_seq.4232.19" 37.6156672001519
"IGF.II.receptor_seq.16057.6" 28.8486695998197
"IGF.II.receptor_seq.3676.15" 124.043718287023
"IGFBP.1_seq.13741.36" Inf
"IGFBP.1_seq.2771.35" Inf
"IGSF3_seq.9715.15" 86.5186111616596
"IL.1.R.AcP_seq.14048.7" Inf
"IL.1.R.AcP_seq.2630.12" Inf
"IL.1.R4_seq.4234.8" Inf
"IL.1.sRI_seq.2991.9" 141.19413927173
"IL.1.sRII_seq.14133.93" Inf
"IL.17.sR_seq.2992.59" 126.922796015324
"IL.17B.R_seq.5084.154" Inf
"IL.18.BPa_seq.3073.51" 19.3376879691052
"IL.18.Ra_seq.14079.14" Inf
"IL.18.Ra_seq.3446.7" Inf
"IL.22_seq.2778.10" Inf
"IL.6.sRa_seq.15602.43" 112.770730348379
"IL.6.sRa_seq.4139.71" 100.563220226776
"IL.6.sRa_seq.8092.29" 95.426465804706
"IL.6_seq.4673.13" Inf
"IL.8_seq.3447.64" Inf
"ILT.2_seq.5090.49" 99.3168682428739
"ILT.4_seq.5091.28" 140.759611998051
"INGR2.ECD_seq.9180.6" 69.7819330320959
"INGR2.ECD_seq.9305.89" 81.1401021144896
"IP.10_seq.4141.79" Inf
"ISK2_seq.13405.61" 124.163331131448
"ISLR2_seq.13124.20" 13.3928894738302
"ISLR2_seq.8528.74" 13.0455268838942
"ITI.heavy.chain.H1_seq.7955.195" Inf
"ITI.heavy.chain.H4_seq.4811.33" Inf
"JAM.B_seq.2997.8" 15.2140566406395
"JAM.C_seq.2998.53" 48.8301280657164
"kallikrein.10_seq.6227.1" Inf
"Kallikrein.11_seq.2831.29" Inf
"Kallikrein.11_seq.7775.15" Inf
"kallikrein.13_seq.11152.46" Inf
"kallikrein.14_seq.8620.56" Inf
"kallikrein.15_seq.6491.59" 120.505128069017
